id,code,defination,c_id,type_id
20,20,Ashland,Greene,town
22,22,Athens,Greene,town
24,24,Cairo,Greene,town
26,26,Catskill,Greene,town
28,28,Coxsackie,Greene,town
30,30,Durham,Greene,town
32,32,Greenville,Greene,town
34,34,Halcott,Greene,town
36,36,Hunter,Greene,town
38,38,Jewitt,Greene,town
40,40,Lexington,Greene,town
42,42,New Baltimore,Greene,town
44,44,Prattsville,Greene,town
46,46,Windham,Greene,town
ANC,ANC,Ancram,Columbia,town
AUS,AUS,Austerlitz,Columbia,town
BE,BE,Bethel,Sullivan,town
BG,BG,Blooming Grove,Orange,town
C,C,Clarkstown,Rockland,town
CA,CA,Callicoon,Sullivan,town
CAN,CAN,Canaan,Columbia,town
CHA,CHA,Chatham,Columbia,town
CHE,CHE,Chester,Orange,town
CKG,CKG,Kingston (c),Ulster,town
CLA,CLA,Claverack,Columbia,town
CLE,CLE,Clermont,Columbia,town
CO,CO,Cochecton,Sullivan,town
COP,COP,Copake,Columbia,town
CR,CR,Crawford,Orange,town
CW,CW,Cornwall,Orange,town
DE,DE,Delaware,Sullivan,town
DEN,DEN,Denning,Ulster,town
DP,DP,Deerpark,Orange,town
ESO,ESO,Esopus,Ulster,town
FA,FA,Fallsburg,Sullivan,town
FO,FO,Forestburgh,Sullivan,town
FR,FR,Fremont,Sullivan,town
GAL,GAL,Gallatin,Columbia,town
GAR,GAR,Gardiner,Ulster,town
GER,GER,Germantown,Columbia,town
GHT,GHT,Ghent,Columbia,town
GRP,GRP,Greenport,Columbia,town
GSN,GSN,Goshen,Orange,town
GV,GV,Greenville,Orange,town
H,H,Haverstraw,Rockland,town
HAR,HAR,Hardenburgh,Ulster,town
HBG,HBG,Hamptonburgh,Orange,town
HI,HI,Highlands,Orange,town
HI,HI,Highland,Sullivan,town
HIL,HIL,Hillsdale,Columbia,town
HUD,HUD,Hudson,Columbia,town
HUR,HUR,Hurley,Ulster,town
KIN,KIN,Kinderhook,Columbia,town
KIN,KIN,Kingston,Ulster,town
LI,LI,Liberty,Sullivan,town
LIV,LIV,Livingston,Columbia,town
LLO,LLO,Lloyd,Ulster,town
LU,LU,Lumberland,Sullivan,town
MA,MA,Mamakating,Sullivan,town
MAR,MAR,Marbletown,Ulster,town
MGY,MGY,Montgomery,Orange,town
MH,MH,Mount Hope,Orange,town
MID,MID,Middletown,Orange,town
MIN,MIN,Minisink,Orange,town
MRL,MRL,Marlborough,Ulster,town
MRO,MRO,Monroe,Orange,town
NBG,NBG,Newburgh (c),Orange,town
NE,NE,Neversink,Sullivan,town
NEW,NEW,New Paltz,Ulster,town
NLE,NLE,New Lebanon,Columbia,town
NW,NW,New Windsor,Orange,town
NWT,NWT,Newburgh,Orange,town
O,O,Orangetown,Rockland,town
OLI,OLI,Olive,Ulster,town
PJ,PJ,Port Jervis,Orange,town
PLA,PLA,Plattekill,Ulster,town
R,R,Ramapo,Rockland,town
RO,RO,Rockland,Sullivan,town
ROC,ROC,Rochester,Ulster,town
ROS,ROS,Rosendale,Ulster,town
S,S,Stony Point,Rockland,town
SAU,SAU,Saugerties,Ulster,town
SHA,SHA,Shandaken,Ulster,town
SHW,SHW,Shawangunk,Ulster,town
STP,STP,Stockport,Columbia,town
STY,STY,Stuyvesant,Columbia,town
TAG,TAG,Taghkanic,Columbia,town
TH,TH,Thompson,Sullivan,town
TU,TU,Tuxedo,Orange,town
TU,TU,Tusten,Sullivan,town
ULS,ULS,Ulster,Ulster,town
WAR,WAR,Warwick,Orange,town
WAW,WAW,Wawayanda,Orange,town
WAW,WAW,Wawarsing,Ulster,town
WKL,WKL,Wallkill,Orange,town
WO,WO,Woodbury,Orange,town
WOD,WOD,Woodstock,Ulster,town
8,8,Kingston Consolidated,Ulster,school_district
26,26,Pine Bush,Ulster,school_district
28,28,Fallsburgh,Ulster,school_district
32,32,Highland,Ulster,school_district
34,34,Rondout Valley,Ulster,school_district
36,36,Marlborough,Ulster,school_district
38,38,New Paltz,Ulster,school_district
40,40,Onteora,Ulster,school_district
42,42,Valley Central,Ulster,school_district
44,44,Livingston Manor,Ulster,school_district
46,46,Margaretville,Ulster,school_district
48,48,Saugerties,Ulster,school_district
52,52,Wallkill,Ulster,school_district
56,56,Ellenville,Ulster,school_district
60,60,Tri Valley,Ulster,school_district
C01,C01,Clarkstown (Area 01),Rockland,school_district
C02,C02,Clarkstown (Area 02),Rockland,school_district
C03,C03,Clarkstown (Area 03),Rockland,school_district
C04,C04,Clarkstown (Area 04),Rockland,school_district
E01,E01,East Ramapo (Area 01),Rockland,school_district
E02,E02,East Ramapo (Area 02),Rockland,school_district
E03,E03,East Ramapo (Area 03),Rockland,school_district
E04,E04,East Ramapo (Area 04),Rockland,school_district
E05,E05,East Ramapo (Area 05),Rockland,school_district
E06,E06,East Ramapo (Area 06),Rockland,school_district
E07,E07,East Ramapo (Area 07),Rockland,school_district
E08,E08,East Ramapo (Area 08),Rockland,school_district
E09,E09,East Ramapo (Area 09),Rockland,school_district
E10,E10,East Ramapo (Area 10),Rockland,school_district
H01,H01,Haverstraw (Area 01),Rockland,school_district
H02,H02,Haverstraw (Area 02),Rockland,school_district
H03,H03,Haverstraw (Area 03),Rockland,school_district
NAN,NAN,Nanuet,Rockland,school_district
NYK,NYK,Nyack,Rockland,school_district
O01,O01,Orangetown (Area 01),Rockland,school_district
O02,O02,Orangetown (Area 02),Rockland,school_district
O03,O03,Orangetown (Area 03),Rockland,school_district
O04,O04,Orangetown (Area 04),Rockland,school_district
O05,O05,Orangetown (Area 05),Rockland,school_district
P01,P01,Pearl River (Area 01),Rockland,school_district
